央视,#genre#
新闻资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226357/1.m3u8
新闻综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226366/1.m3u8
爱上4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/1.m3u8
欢笑剧场4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/1.m3u8
影视频道,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226369/1.m3u8
精彩电视剧,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/1.m3u8
精彩电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/1.m3u8
精彩综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226009/1.m3u8
西安教育,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226371/1.m3u8
西安教育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226371/1.m3u8
西部电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226364/1.m3u8
西部电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226360/1.m3u8
IPTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226345/1.m3u8
IPTV6+,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226342/1.m3u8
IPTV8+,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226343/1.m3u8
LBRTV,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226000/1.m3u8
LBRTV,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/1.m3u8
陕视直播,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226408/1.m3u8
陕西|商洛-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226378/1.m3u8
陕西|渭南新闻综合,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226376/1.m3u8
陕西|西乡融媒,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226556/1.m3u8
陕西|延安YATV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226374/1.m3u8
陕西|延安YATV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226374/1.m3u8
陕西|延安YATV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226386/1.m3u8
陕西|延安YATV-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226375/1.m3u8
陕西|延安YATV-2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226387/1.m3u8
陕西|榆林一套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226377/1.m3u8
陕西|榆林一套,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226377/1.m3u8
陕西|圆点生活,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226552/1.m3u8
陕西|镇巴电视台,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226457/1.m3u8
陕西公共,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226361/1.m3u8
陕西生活,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226359/1.m3u8
陕西影视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226360/1.m3u8
安康综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226385/1.m3u8
安塞-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226388/1.m3u8
宝鸡-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226383/1.m3u8
宝鸡-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226384/1.m3u8
城固,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/1.m3u8
佛坪,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226454/1.m3u8
佛坪,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226454/1.m3u8
佛坪,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226920/1.m3u8
汉中-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226331/1.m3u8
汉中-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226331/1.m3u8
汉中-2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225990/1.m3u8
汉中-3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225991/1.m3u8
略阳-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226322/1.m3u8
宁强-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226390/1.m3u8
宁强-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226390/1.m3u8
宁强-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226389/1.m3u8
宁强-2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226389/1.m3u8
商务资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226368/1.m3u8
